Indiv,Yield_E1_Suwon_2024,Yield_E2_Milyang_2024,Yield_E3_Iksan_2024
RIL131,53.1415862274395,53.80976420983654,52.41489990703415
RIL132,48.06328173054331,50.96731191372162,44.432049836763845
RIL133,61.781444849631086,63.033973975472215,60.72195125843117
RIL134,48.15772556752738,48.80159907465763,50.94405571909852
RIL135,44.60085725632134,43.16668348037296,43.23641678491627
RIL136,62.771689944032914,68.56694944630996,65.21416147881736
RIL137,55.93645268292757,57.95545573126077,56.843034700758466
RIL138,49.466797068889434,53.69796039042631,47.39670879417542
RIL139,52.901887642912925,57.92165519430412,55.754889121697495
RIL140,44.988540865447916,46.404087779940795,46.27758642879888
RIL141,52.6385448215971,52.53721082154068,51.16202836612394
RIL142,44.44868560903644,46.91984724371205,45.899250477068016
RIL143,47.82902011278409,48.20647315431012,46.9155817838161
RIL144,43.23404932898344,44.30319488957636,44.45236643954244
RIL145,61.144787986977434,60.43793511834783,61.62409448541906
RIL146,53.615375582219116,50.71745000859977,49.74381328202296
RIL147,53.511289846100006,54.33174734464852,49.93520867577519
RIL148,49.72701194660571,54.14211664637372,51.2301386699197
RIL149,54.58380268937199,57.01597184938566,54.004455072354844
RIL150,42.58491609694981,46.383930110874125,42.106056241569384
